Record Length,15000,,Source,CH1,CH2
Sample Interval,40000.0000000000000,,Second,Volt,Volt
Vertical Units,CH1:V CH2:V,,-300000000.00000000000,0.24000,0.24000
Vertical Scale,CH1:1.00 CH2:1.00,,-299960000.0000000001.00,0.24000,1.12000
Vertical Offset,CH1:-2.00000 CH2:-2.00000,,-299920000.000000000-2.00000,0.24000,1.12000
Horizontal Units,s,,-299880000.00000000000,0.24000,1.12000
Horizontal Scale,1.0000000000,,-299840000.0000000001.0000000000,0.24000,1.12000
Model Number,WaveAce112,,-299800000.00000000000,0.24000,1.12000
Serial Number,LCRY2101C02399,,-299760000.00000000000,0.24000,1.12000
Software Version,2.07.02.16,,-299720000.00000000000,0.24000,1.12000
,,,-299680000.00000000000,0.24000,1.12000
,,,-299640000.00000000000,0.24000,1.12000
,,,-299600000.00000000000,0.24000,1.12000
,,,-299560000.00000000000,0.24000,1.12000
,,,-299520000.00000000000,0.24000,1.12000
,,,-299480000.00000000000,0.24000,1.12000
,,,-299440000.00000000000,0.24000,1.12000
,,,-299400000.00000000000,0.24000,1.12000
,,,-299360000.00000000000,0.24000,1.12000
,,,-299320000.00000000000,0.24000,1.12000
,,,-299280000.00000000000,0.24000,1.12000
,,,-299240000.00000000000,0.24000,1.12000
,,,-299200000.00000000000,0.24000,1.12000
,,,-299160000.00000000000,0.24000,1.12000
,,,-299120000.00000000000,0.24000,1.12000
,,,-299080000.00000000000,0.24000,1.12000
,,,-299040000.00000000000,0.24000,1.12000
,,,-299000000.00000000000,0.24000,1.12000
,,,-298960000.00000000000,0.24000,1.12000
,,,-298920000.00000000000,0.24000,1.12000
,,,-298880000.00000000000,0.24000,1.12000
,,,-298840000.00000000000,0.24000,1.12000
,,,-298800000.00000000000,0.24000,1.12000
,,,-298760000.00000000000,0.24000,1.12000
,,,-298720000.00000000000,0.24000,1.12000
,,,-298680000.00000000000,0.24000,1.12000
,,,-298640000.00000000000,0.24000,1.12000
,,,-298600000.00000000000,0.24000,1.12000
,,,-298560000.00000000000,0.24000,1.12000
,,,-298520000.00000000000,0.24000,1.12000
,,,-298480000.00000000000,0.24000,1.12000
,,,-298440000.00000000000,0.24000,1.12000
,,,-298400000.00000000000,0.24000,1.12000
,,,-298360000.00000000000,0.24000,1.12000
,,,-298320000.00000000000,0.24000,1.12000
,,,-298280000.00000000000,0.24000,1.12000
,,,-298240000.00000000000,0.24000,1.12000
,,,-298200000.00000000000,0.24000,1.12000
,,,-298160000.00000000000,0.24000,1.12000
,,,-298120000.00000000000,0.24000,1.12000
,,,-298080000.00000000000,0.24000,1.12000
,,,-298040000.00000000000,0.24000,1.12000
,,,-298000000.00000000000,0.12000,1.08000
,,,-297960000.00000000000,0.08000,1.08000
,,,-297920000.00000000000,0.04000,1.08000
,,,-297880000.00000000000,0.24000,1.08000
,,,-297840000.00000000000,0.08000,1.08000
,,,-297800000.00000000000,0.12000,1.04000
,,,-297760000.00000000000,0.08000,1.12000
,,,-297720000.00000000000,0.04000,1.08000
,,,-297680000.00000000000,0.24000,1.08000
,,,-297640000.00000000000,0.12000,1.12000
,,,-297600000.00000000000,0.12000,1.12000
,,,-297560000.00000000000,0.04000,1.08000
,,,-297520000.00000000000,0.08000,1.08000
,,,-297480000.00000000000,0.24000,1.08000
,,,-297440000.00000000000,0.12000,1.08000
,,,-297400000.00000000000,0.16000,1.08000
,,,-297360000.00000000000,0.16000,1.08000
,,,-297320000.00000000000,0.08000,1.08000
,,,-297280000.00000000000,0.24000,1.12000
,,,-297240000.00000000000,0.12000,1.08000
,,,-297200000.00000000000,0.12000,1.08000
,,,-297160000.00000000000,0.08000,1.08000
,,,-297120000.00000000000,0.08000,1.12000
,,,-297080000.00000000000,0.20000,1.08000
,,,-297040000.00000000000,0.12000,1.12000
